"Dstat 0.9.10 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","db3-xps",,,,"User:","fcg"
"Cmdline:","dstat -a --postgresql-backup --postgresql-dbsize --postgresql-log --postgresql-conn --postgresql-locks --postgresql-transactions --output metrics.csv",,,,"Date:","29 Aug 2021 13:26:03 CST"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,
24.701,14.615,60.342,0.342,0,0,5025792,3476355,2500840,0,0,2472931328,26507026432,1092608000,2786856960,13058,88033,6,1,1,1.170,0.370,0.130
24.957,11.235,62.864,0.943,0,0,11853824,9824973,6748691,0,0,2510450688,26468835328,1092608000,2787528704,16763,212864,4,1,0,1.170,0.370,0.130
18.009,8.918,71.861,1.212,0,0,15474688,13992133,9556175,0,0,2509918208,26467770368,1092608000,2789085184,18173,282042,1,1,0,1.800,0.510,0.170
7.454,3.518,88.526,0.503,0,0,6365184,4993343,3460214,0,0,2510495744,26465472512,1092608000,2790764544,7627,103384,0,0,0,1.800,0.510,0.170
13.140,8.264,77.686,0.909,0,0,25636864,7407262,5112359,0,0,2489335808,26469310464,1092640768,2807590912,11645,153711,5,1,0,1.800,0.510,0.170
23.393,11.997,63.753,0.857,0,0,9830400,8022478,5558759,0,0,2489102336,26468245504,1092640768,2808868864,15374,177563,15,0,0,1.800,0.510,0.170
23.103,14.152,62.489,0.256,0,0,5160960,2938358,2129792,0,0,2489589760,26467213312,1092640768,2809393152,12570,81318,7,0,0,1.800,0.510,0.170
22.886,13.920,62.938,0.256,0,0,4554752,2875428,2065206,0,0,2489745408,26466697216,1092640768,2809753600,12131,79012,2,0,0,1.810,0.540,0.180
23.625,13.832,62.285,0.258,0,0,4898816,3335925,2387556,0,0,2489929728,26466197504,1092640768,2810056704,12979,87727,13,0,0,1.810,0.540,0.180
25,12.801,61.856,0.344,0,0,5066752,3477177,2477976,0,0,2479149056,26476527616,1092648960,2810486784,13050,88486,7,0,0,1.810,0.540,0.180
23.842,14.751,61.149,0.257,0,0,4923392,3283020,2367356,0,0,2478989312,26476269568,1092648960,2810892288,12931,86381,6,0,0,1.810,0.540,0.180
25.815,15.866,57.976,0.343,0,0,5177344,3438884,2499365,0,0,2478661632,26476269568,1092648960,2811219968,13232,87333,5,0,0,1.810,0.540,0.180
25.916,13.299,60.443,0.341,0,0,4919296,3349242,2372259,0,0,2478379008,26475995136,1092648960,2811752448,12833,82473,2,1,0,2.070,0.610,0.210
26.769,13.811,59.165,0.256,0,0,5193728,3402720,2487485,0,0,2478858240,26475220992,1092648960,2812039168,13212,88313,4,0,0,2.070,0.610,0.210
26.638,15.172,57.931,0.259,0,8192,4984832,3255228,2383135,0,0,2379751424,26573668352,1092661248,2812657664,12612,85322,5,0,3,2.070,0.610,0.210
6.156,0.666,93.178,0,0,0,1089536,394,594,0,0,1904156672,27048263680,1092661248,2813652992,825,693,0,0,1,2.070,0.610,0.210
0,0,100,0,0,0,1572864,92,0,0,0,1904156672,27048263680,1092661248,2813652992,212,252,0,0,0,2.070,0.610,0.210
0.083,0.167,99.750,0,0,0,29523968,64,0,0,0,1904144384,27048263680,1092673536,2813652992,238,238,0,0,0,1.900,0.600,0.210
0.334,0,99.666,0,0,0,1048576,92,0,0,0,1904136192,27048271872,1092673536,2813652992,232,309,0,0,0,1.900,0.600,0.210
0,0,100,0,0,0,1175552,222,286,0,0,1904123904,27048271872,1092685824,2813652992,226,258,0,0,0,1.900,0.600,0.210
0,0.083,99.917,0,0,0,1048576,60,0,0,0,1904123904,27048271872,1092685824,2813652992,221,276,0,0,0,1.900,0.600,0.210
0.083,0,99.917,0,0,0,1048576,276,0,0,0,1904123904,27048271872,1092685824,2813652992,224,236,0,0,0,1.900,0.600,0.210
0,0.083,99.917,0,0,0,1105920,293,0,0,0,1904111616,27048271872,1092685824,2813665280,211,242,0,0,0,1.750,0.590,0.210
0.083,0,99.917,0,0,0,1048576,64,0,0,0,1904111616,27048271872,1092685824,2813665280,201,239,0,0,0,1.750,0.590,0.210
0.083,0.083,99.833,0,0,0,1118208,244,0,0,0,1904111616,27048271872,1092694016,2813657088,237,279,0,0,0,1.750,0.590,0.210
0.083,0,99.917,0,0,0,1048576,64,0,0,0,1904111616,27048271872,1092694016,2813657088,180,212,0,0,0,1.750,0.590,0.210
0,0.083,99.833,0.083,0,0,1048576,330,0,0,0,1904103424,27048271872,1092694016,2813665280,171,198,0,0,0,1.750,0.590,0.210
0.083,0,99.917,0,0,0,1048576,64,0,0,0,1904103424,27048271872,1092694016,2813665280,220,212,0,0,0,1.610,0.580,0.210
0.167,0,99.833,0,0,0,1048576,244,0,0,0,1904103424,27048271872,1092694016,2813665280,255,429,0,0,0,1.610,0.580,0.210
0.083,0,99.917,0,0,0,0,64,0,0,0,1904103424,27048271872,1092694016,2813665280,148,219,0,0,0,1.610,0.580,0.210
5.495,0.500,94.005,0,0,0,507904,244,0,0,0,1911382016,27041214464,1092702208,2813435904,633,599,0,0,1,1.610,0.580,0.210
5.676,0.083,94.240,0,0,0,40960,210,0,0,0,1924435968,27028054016,1092702208,2813542400,554,510,1,0,0,1.610,0.580,0.210
1.332,0.083,98.585,0,0,0,57344,304,0,0,0,1904017408,27048439808,1092702208,2813575168,279,336,0,0,0,1.480,0.570,0.200
0,0,100,0,0,0,0,301,0,0,0,1904017408,27048439808,1092702208,2813575168,114,159,0,0,0,1.480,0.570,0.200
0.083,0,99.917,0,0,0,0,0,0,0,0,1904017408,27048439808,1092702208,2813575168,122,195,0,0,0,1.480,0.570,0.200
0,0,100,0,0,0,106496,64,0,0,0,1904009216,27048439808,1092710400,2813575168,120,186,0,0,0,1.480,0.570,0.200
0.083,0,99.917,0,0,0,0,86,0,0,0,1904001024,27048448000,1092710400,2813575168,143,213,0,0,0,1.480,0.570,0.200
0.083,0,99.917,0,0,0,0,64,0,0,0,1904001024,27048448000,1092710400,2813575168,95,139,0,0,0,1.360,0.560,0.200
0,0,100,0,0,0,0,0,0,0,0,1904001024,27048448000,1092710400,2813575168,139,211,0,0,0,1.360,0.560,0.200
0.083,0,99.917,0,0,0,0,64,0,0,0,1904001024,27048448000,1092710400,2813575168,112,182,0,0,0,1.360,0.560,0.200
0,0,100,0,0,0,0,332,0,0,0,1904001024,27048448000,1092710400,2813575168,135,196,0,0,0,1.360,0.560,0.200
0.083,0.083,99.833,0,0,0,0,438,0,0,0,1904001024,27048448000,1092710400,2813575168,75,130,0,0,0,1.360,0.560,0.200
0,0,100,0,0,0,0,300,0,0,0,1904001024,27048448000,1092710400,2813575168,71,126,0,0,0,1.250,0.550,0.200
0.083,0,99.917,0,0,0,0,304,0,0,0,1904001024,27048448000,1092710400,2813575168,91,159,0,0,0,1.250,0.550,0.200
0,0.084,99.916,0,0,0,0,0,0,0,0,1904001024,27048448000,1092710400,2813575168,109,246,0,0,0,1.250,0.550,0.200
0.083,0,99.917,0,0,0,0,124,0,0,0,1904001024,27048448000,1092710400,2813575168,64,111,0,0,0,1.250,0.550,0.200
0,0,100,0,0,0,0,180,0,0,0,1903968256,27048480768,1092710400,2813575168,71,150,0,0,0,1.250,0.550,0.200
0.083,0,99.917,0,0,0,0,137,101,0,0,1904001024,27048448000,1092710400,2813575168,74,124,0,0,0,1.150,0.540,0.200
0.083,0,99.917,0,0,0,1847296,0,0,0,0,1904001024,27048448000,1092710400,2813575168,167,218,0,0,0,1.150,0.540,0.200
0,0,100,0,0,0,0,184,0,0,0,1904001024,27048448000,1092710400,2813575168,67,116,0,0,0,1.150,0.540,0.200
0,0,100,0,0,0,0,60,0,0,0,1904001024,27048448000,1092710400,2813575168,71,142,0,0,0,1.150,0.540,0.200
0.083,0,99.917,0,0,0,0,184,0,0,0,1904001024,27048448000,1092710400,2813575168,78,144,0,0,0,1.150,0.540,0.200
0,0,100,0,0,0,0,240,0,0,0,1904001024,27048448000,1092710400,2813575168,71,117,0,0,0,1.060,0.530,0.200
0.083,0,99.917,0,0,0,212992,241,0,0,0,1904001024,27048448000,1092718592,2813566976,132,194,0,0,0,1.060,0.530,0.200
0,0,100,0,0,0,0,0,0,0,0,1903992832,27048448000,1092718592,2813575168,114,196,0,0,0,1.060,0.530,0.200
0,0,100,0,0,0,0,364,0,0,0,1903992832,27048448000,1092718592,2813575168,110,178,0,0,0,1.060,0.530,0.200
0.167,0,99.833,0,0,0,0,0,0,0,0,1903992832,27048448000,1092718592,2813575168,118,191,0,0,0,1.060,0.530,0.200
0,0,100,0,0,0,0,64,0,0,0,1903992832,27048448000,1092718592,2813575168,93,152,0,0,0,0.970,0.520,0.200
0,0.083,99.917,0,0,0,3608576,60,0,0,0,1903992832,27048448000,1092726784,2813566976,381,316,0,0,0,0.970,0.520,0.200
0,0,100,0,0,0,0,184,0,0,0,1903984640,27048448000,1092726784,2813575168,132,228,0,0,0,0.970,0.520,0.200
0.167,0.083,99.750,0,0,0,20480,60,0,0,0,1905016832,27047415808,1092726784,2813575168,191,231,0,0,1,0.970,0.520,0.200
0,0.083,99.917,0,0,0,618496,124,0,0,0,1905188864,27047157760,1092751360,2813898752,219,255,0,0,0,0.970,0.520,0.200
0.167,0,99.833,0,0,0,524288,60,0,0,0,1905131520,27047190528,1092751360,2813923328,259,326,0,0,0,0.900,0.510,0.200
0.167,0,99.833,0,0,0,811008,64,0,0,0,1905164288,27047157760,1092751360,2813923328,197,256,0,0,0,0.900,0.510,0.200
0.083,0.083,99.833,0,0,0,786432,0,0,0,0,1905164288,27047157760,1092751360,2813923328,175,248,0,0,0,0.900,0.510,0.200
0.083,0.083,99.833,0,0,0,524288,1174,612,0,0,1905164288,27047157760,1092751360,2813923328,206,369,2,0,4,0.900,0.510,0.200
0.167,0.251,99.582,0,0,0,851968,570,408,0,0,1907642368,27044667392,1092759552,2813923328,757,598,0,0,28,0.900,0.510,0.200
0.250,0.167,99.583,0,0,0,786432,736,1104,0,0,1907601408,27044708352,1092759552,2813923328,567,601,0,0,16,0.820,0.500,0.190
0.083,0.083,99.833,0,0,0,786432,504,306,0,0,1907859456,27044450304,1092759552,2813923328,275,362,0,0,0,0.820,0.500,0.190
0.334,0.334,99.332,0,0,0,786432,1009,552,0,0,1908690944,27043618816,1092759552,2813923328,732,580,0,0,32,0.820,0.500,0.190
0.167,0,99.833,0,0,0,524288,0,0,0,0,1908121600,27044151296,1092759552,2813923328,327,294,0,0,0,0.820,0.500,0.190
0.083,0.083,99.833,0,0,0,802816,568,306,0,0,1908412416,27043860480,1092767744,2813915136,251,374,0,0,8,0.820,0.500,0.190
4.003,0.417,95.580,0,0,0,786432,576,3344,0,0,1967947776,26984259584,1092767744,2813984768,897,3565,0,0,12,0.760,0.500,0.190
0,0.083,99.917,0,0,0,786432,307,294,0,0,1967947776,26984259584,1092767744,2813984768,192,287,0,0,0,0.760,0.500,0.190
0.250,0,99.750,0,0,0,786432,336,2106,0,0,1970528256,26981679104,1092767744,2813984768,198,316,0,0,0,0.760,0.500,0.190
0.583,0.167,99.251,0,0,0,524288,1132,6038,0,0,1905844224,27046363136,1092767744,2813984768,352,499,0,0,0,0.760,0.500,0.190
0,0.083,99.917,0,0,0,901120,410,530,0,0,1905750016,27046498304,1092780032,2813931520,306,369,0,0,0,0.760,0.500,0.190
0.083,0.083,99.833,0,0,0,786432,1072,636,0,0,1905750016,27046498304,1092780032,2813931520,221,368,0,0,0,0.700,0.490,0.190
3.431,0.335,96.234,0,0,0,786432,642,6274,0,0,1960955904,26991243264,1092780032,2813980672,809,3291,0,0,12,0.700,0.490,0.190
0.167,0,99.833,0,0,0,524288,298,412,0,0,1960955904,26991243264,1092780032,2813980672,211,319,0,0,0,0.700,0.490,0.190
0.167,0.084,99.749,0,0,0,786432,2952,1388,0,0,1961570304,26990628864,1092780032,2813980672,285,620,0,0,0,0.700,0.490,0.190
0.167,0.083,99.750,0,0,0,876544,688,552,0,0,1961496576,26990694400,1092788224,2813980672,218,366,0,0,0,0.700,0.490,0.190
0.083,0,99.917,0,0,0,786432,60,0,0,0,1961496576,26990694400,1092788224,2813980672,169,258,0,0,0,0.640,0.480,0.190
0.167,0.083,99.750,0,0,0,729088,182,420,0,0,1961496576,26990694400,1092788224,2813980672,269,351,0,0,0,0.640,0.480,0.190
0.083,0.083,99.833,0,0,0,786432,0,0,0,0,1961463808,26990727168,1092788224,2813980672,190,271,0,0,0,0.640,0.480,0.190
0.083,0,99.917,0,0,0,786432,64,0,0,0,1961463808,26990727168,1092788224,2813980672,157,238,0,0,0,0.640,0.480,0.190
0.167,0,99.833,0,0,0,901120,498,3556,0,0,1902673920,27049545728,1092800512,2813939712,425,449,0,0,0,0.640,0.480,0.190
0.083,0.083,99.833,0,0,0,786432,130,286,0,0,1902673920,27049545728,1092800512,2813939712,188,251,0,0,0,0.590,0.470,0.190
0.167,0,99.833,0,0,0,524288,0,0,0,0,1902673920,27049545728,1092800512,2813939712,229,519,0,0,0,0.590,0.470,0.190
0.167,0.083,99.750,0,0,0,786432,736,3700,0,0,1902673920,27049545728,1092800512,2813939712,245,299,0,0,0,0.590,0.470,0.190
0.250,0.083,99.666,0,0,0,892928,530,462,0,0,1902731264,27049472000,1092800512,2813939712,396,396,0,0,1,0.590,0.470,0.190
0.167,0,99.833,0,0,0,835584,2588,2878,0,0,1902772224,27049431040,1092808704,2813931520,282,460,0,0,0,0.590,0.470,0.190
0.250,0,99.750,0,0,0,786432,1414,3054,0,0,1902698496,27049496576,1092808704,2813939712,240,412,0,0,0,0.540,0.460,0.190
0.167,0.083,99.750,0,0,0,524288,3183,7352,0,0,1902665728,27049529344,1092808704,2813939712,287,440,0,0,0,0.540,0.460,0.190
0.417,0.167,99.416,0,0,0,860160,5718,9766,0,0,1902673920,27049512960,1092808704,2813947904,351,641,0,0,0,0.540,0.460,0.190
0.083,0,99.917,0,0,0,786432,248,0,0,0,1902673920,27049512960,1092808704,2813947904,202,252,0,0,0,0.540,0.460,0.190
0.998,0,99.002,0,0,0,552960,0,0,0,0,1902665728,27049512960,1092816896,2813947904,263,354,0,0,0,0.540,0.460,0.190
0,0,100,0,0,0,786432,280,0,0,0,1902665728,27049512960,1092816896,2813947904,187,249,0,0,0,0.500,0.450,0.180
0,0.083,99.917,0,0,0,786432,92,0,0,0,1902632960,27049545728,1092816896,2813947904,191,282,0,0,0,0.500,0.450,0.180
0.083,0,99.917,0,0,0,786432,522,3360,0,0,1902665728,27049512960,1092816896,2813947904,212,290,0,0,0,0.500,0.450,0.180
0.167,0.083,99.750,0,0,0,786432,967,204,0,0,1902665728,27049512960,1092816896,2813947904,231,340,0,0,0,0.500,0.450,0.180
0,0.083,99.917,0,0,0,544768,424,654,0,0,1902358528,27049820160,1092825088,2813939712,221,292,0,0,0,0.500,0.450,0.180
0.083,0,99.917,0,0,0,786432,60,0,0,0,1902125056,27050045440,1092825088,2813947904,148,233,0,0,0,0.460,0.450,0.180
0.083,0,99.917,0,0,0,786432,1148,642,0,0,1902157824,27050012672,1092825088,2813947904,191,296,0,0,0,0.460,0.450,0.180
0,0.167,99.833,0,0,0,786432,1176,714,0,0,1902125056,27050045440,1092825088,2813947904,206,315,0,0,0,0.460,0.450,0.180
0.083,0.083,99.833,0,0,0,786432,1810,26516,0,0,1902415872,27049754624,1092825088,2813947904,229,313,0,0,1,0.460,0.450,0.180
0.083,0,99.833,0.083,0,0,540672,66,502,0,0,1902415872,27049746432,1092833280,2813947904,179,297,0,0,0,0.460,0.450,0.180
0.083,0.083,99.833,0,0,0,786432,776,1140,0,0,1902415872,27049746432,1092833280,2813947904,207,302,0,0,0,0.420,0.440,0.180
0.083,0.083,99.833,0,0,0,786432,60,0,0,0,1902383104,27049779200,1092833280,2813947904,163,239,0,0,0,0.420,0.440,0.180
0,0,100,0,0,0,790528,1376,744,0,0,1902383104,27049779200,1092833280,2813947904,191,278,0,0,0,0.420,0.440,0.180
0.250,0.167,99.583,0,0,0,786432,564,306,0,0,1902415872,27049746432,1092833280,2813947904,297,344,0,0,3,0.420,0.440,0.180
0.416,0,99.584,0,0,0,565248,292,110,0,0,1902407680,27049754624,1092841472,2813939712,253,360,0,0,0,0.420,0.440,0.180
0.167,0.083,99.750,0,0,0,786432,1546,26154,0,0,1902149632,27050004480,1092841472,2813947904,269,334,0,0,1,0.390,0.430,0.180
0,0,100,0,0,0,786432,307,502,0,0,1902043136,27050110976,1092841472,2813947904,221,247,0,0,0,0.390,0.430,0.180
